label,"transform  {A:7.320508075688773, B:12.679491924311227}",angle,transform[0].x,transform[0].y,transform[1].x,transform[1].y,transform[2].x,transform[2].y
"Phi","((-10.5)*A)-((9.0)*B + (4.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-76.86533479473212,-171.17314097820156
"Gamma1","((-12.0)*A + (-1.5)*B*√3)-((10.5)*B + (4.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-120.78838324886476,-183.85263290251277
"Gamma2","((-10.5)*A + (-1.0)*B*√3)-((9.0)*B + (5.5)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,-98.82685902179844,-183.85263290251277
"Pi","((-13.5)*A + (-2.0)*B*√3)-((12.0)*B + (3.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-142.74990747593105,-196.532124826824
"Delta","((-15.0)*A + (-2.0)*B*√3)-((12.0)*B + (3.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,-153.7306695894642,-190.1923788646684
"Theta","((-15.0)*A + (-2.5)*B*√3)-((10.5)*B + (3.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-164.71143170299737,-171.17314097820156
"Sigma","((-15.0)*A + (-2.5)*B*√3)-((10.5)*B + (4.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-164.71143170299737,-183.85263290251277
"Xi","((-16.5)*A + (-3.0)*B*√3)-((12.0)*B + (3.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-186.6729559300637,-196.532124826824
"Phi","((-15.0)*A + (-3.0)*B*√3)-((12.0)*B + (4.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-175.69219381653053,-202.8718707889796
"Gamma1","((-15.0)*A + (-1.5)*B*√3)-((13.5)*B + (5.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-142.74990747593105,-234.57060059975768
"Gamma2","((-13.5)*A + (-2.5)*B*√3)-((13.5)*B + (3.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,-153.7306695894642,-215.55136271329084
"Psi","((-24.0)*A + (-11.5)*B*√3)+((-7.5)*B + (8.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-428.24972242779324,6.339745962155604
"Delta","((-24.0)*A + (-11.5)*B*√3)-((7.5)*B + (-7.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-428.24972242779324,-6.339745962155618
"Psi","((-25.5)*A + (-12.0)*B*√3)-((9.0)*B + (-7.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-450.21124665485945,-19.019237886466854
"Phi","((-24.0)*A + (-12.0)*B*√3)-((9.0)*B + (-7.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-439.23048454132635,-25.358983848622458
"Sigma","((-22.5)*A + (-12.0)*B*√3)-((9.0)*B + (-7.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-428.2497224277932,-19.019237886466854
